cityCode	cityName	townCode	townName	읍면동명	투표구명	선거인수	투표수	더불어민주연합	국민의미래	녹색정의당	새로운미래	개혁신당	자유통일당	조국혁신당	가가국민참여신당	가가호호공명선거대한당	반공정당코리아	가락특권폐지당	공화당	국가혁명당	국민대통합당	금융개혁당	기독당	기후민생당	내일로미래로	노동당	노인복지당	대중민주당	대한국민당	대한민국당	대한상공인당	미래당	새누리당	소나무당	신한반도당	여성의당	우리공화당	자유민주당	케이정치혁신연합당	통일한국당	한국농어민당	한나라당	한류연합당	홍익당	히시태그국민정책당	계	무효투표수	기권자수
1100	서울특별시	1101	종로구	합계	NA	126543	88952	21035	31077	2515	2028	4646	1852	20728	32	133	15	27	43	131	58	48	89	16	18	67	53	20	36	8	34	22	124	485	3	147	100	155	10	27	6	144	9	30	64	86035	2917	37591
1100	서울특별시	1101	종로구	거소·선상투표	NA	133	125	35	44	5	6	9	0	17	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	8	8
1100	서울특별시	1101	종로구	관외사전투표	NA	10421	10420	2666	2997	357	221	667	127	2833	3	6	1	6	3	15	6	6	10	2	3	9	3	2	2	0	5	0	20	71	1	27	14	8	1	0	1	20	3	7	9	10132	288	1
1100	서울특별시	1101	종로구	재외투표	NA	1392	837	191	221	44	16	36	12	284	0	2	0	0	0	0	2	1	1	1	0	0	0	0	0	0	0	0	1	6	0	4	0	1	0	0	0	4	0	0	0	827	10	555
1100	서울특별시	1101	종로구	청운효자동	소계	9104	6502	1410	2197	236	171	289	168	1722	1	10	1	0	3	11	1	0	7	0	0	7	2	0	2	2	2	2	4	35	0	8	4	21	1	2	2	5	0	1	2	6329	173	2602
1100	서울특별시	1101	종로구	청운효자동	관내사전투표	3100	3100	723	882	100	86	112	40	1038	1	2	1	0	1	3	0	0	2	0	0	2	0	0	1	2	1	0	1	25	0	5	0	6	0	1	0	3	0	0	0	3038	62	0
1100	서울특별시	1101	종로구	청운효자동	청운효자동제1투	2011	1159	193	508	39	34	60	54	208	0	3	0	0	0	2	0	0	3	0	0	3	0	0	0	0	0	0	3	3	0	1	1	1	0	0	0	2	0	0	1	1119	40	852
1100	서울특별시	1101	종로구	청운효자동	청운효자동제2투	1939	1046	204	412	40	30	50	28	224	0	1	0	0	0	2	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	6	1	0	1	0	0	1	0	1005	41	893
1100	서울특별시	1101	종로구	청운효자동	청운효자동제3투	2054	1197	290	395	57	21	67	46	252	0	4	0	0	2	4	0	0	2	0	0	1	2	0	1	0	0	2	0	6	0	2	2	8	0	1	1	0	0	0	1	1167	30	857
1100	서울특별시	1101	종로구	사직동	소계	7172	4861	776	2064	161	128	304	125	1057	2	8	2	1	3	5	2	4	6	2	1	3	3	0	0	0	0	2	4	28	0	12	3	9	0	0	1	9	1	0	0	4726	135	2311
