조사시작일	district	조사기관2	method	민주후보.결과	국힘후보.결과	차이.결과	민주후보.여조	국힘후보.여조	차이.여조	명목오차
2024-04-03	경기 의정부갑	케이에스오아이(한국사회여론연구소)	무선 전화면접 가상번호	54.89207441620816	43.447178109416114	11.444896306792046	46.7	38.3	8.400000000000006	3.0448963067920403
2024-04-03	경기 화성을	한국갤럽조사연구소	무선 전화면접 가상번호	39.733355144773434	17.852118436119746	21.881236708653688	43	17	26	-4.118763291346312
2024-04-03	경기 하남갑	한국갤럽조사연구소	무선 전화면접 가상번호	50.58972820366526	49.41027179633473	1.1794564073305267	46	43	3	-1.8205435926694733
2024-04-02	경기 안성	데일리리서치	무선 ARS 가상번호	50.71754162320856	47.36837022443698	3.349171398771581	46.6	45.2	1.3999999999999986	1.9491713987715826
2024-04-02	인천 서병	리얼미터	유무선 혼합 ARS 가상번호/RDD 혼합	57.52841788668229	39.559467468707155	17.968950417975137	50.6	34.7	15.899999999999999	2.068950417975138
2024-04-02	인천 연수갑	리얼미터	유무선 혼합 ARS 가상번호/RDD 혼합	52.446045738194435	46.083287142167464	6.362758596026971	47.3	44.1	3.1999999999999957	3.1627585960269755
2024-04-02	인천 부평을	리얼미터	유무선 혼합 ARS 가상번호/RDD 혼합	51.36535215145302	38.75223694601625	12.61311520543677	44.5	35.7	8.799999999999997	3.813115205436773
2024-04-02	서울 용산	엠브레인퍼블릭	무선 전화면접 가상번호	47.02703123055866	51.778493218862764	-4.751461988304101	44	39	5	-9.7514619883041
2024-04-02	경기 화성을	엠브레인퍼블릭	무선 전화면접 가상번호	39.733355144773434	17.852118436119746	21.881236708653688	40	14	26	-4.118763291346312
2024-04-02	경남 양산을	엠브레인퍼블릭	무선 전화면접 가상번호	48.94999244598882	51.05000755401118	-2.1000151080223617	47	37	10	-12.100015108022362
2024-04-02	인천 중강화옹진	여론조사꽃	유무선 혼합 ARS 가상번호/RDD 혼합	43.89255155000701	54.99228503296395	-11.099733482956935	43.6	46.9	-3.299999999999997	-7.799733482956938
2024-04-02	부산 사하을	여론조사꽃	유무선 혼합 ARS 가상번호/RDD 혼합	42.423486953011846	55.624807085025054	-13.201320132013208	50.1	42.2	7.899999999999999	-21.101320132013207
2024-04-02	서울 강동갑	여론조사꽃	무선 전화면접 가상번호	50.12975543478261	47.886548913043484	2.2432065217391255	44.1	35.6	8.5	-6.2567934782608745
2024-04-02	경기 성남분당갑	여론조사꽃	무선 전화면접 가상번호	46.724387252658744	53.27561274734125	-6.551225494682505	45.8	40.4	5.399999999999999	-11.951225494682504
2024-04-02	서울 서초을	여론조사꽃	무선 전화면접 가상번호	42.5082566905111	57.491743309488896	-14.9834866189778	34.8	44.2	-9.400000000000006	-5.583486618977794
2024-04-02	서울 송파을	코리아리서치인터내셔널	무선 전화면접 가상번호	42.79041624545273	57.20958375454727	-14.419167509094535	39	51	-12	-2.4191675090945353
2024-04-02	인천 동미추홀을	코리아리서치인터내셔널	무선 전화면접 가상번호	49.55984025421909	50.44015974578091	-0.8803194915618207	43	48	-5	4.119680508438179
2024-04-02	충남 천안을	코리아정보리서치	유무선 혼합 ARS 가상번호/RDD 혼합	55.12765279937063	41.79669207859592	13.330960720774712	43	40.2	2.799999999999997	10.530960720774715
2024-04-02	서울 용산	넥스트리서치	무선 전화면접 가상번호	47.02703123055866	51.778493218862764	-4.751461988304101	45	46	-1	-3.7514619883041007
2024-04-02	부산 수영	메타보이스	무선 전화면접 가상번호	40.47759782480199	50.33297868148323	-9.855380856681244	35	27	8	-17.855380856681244
2024-04-02	충남 공주부여청양	메타보이스	무선 전화면접 가상번호	50.669007248252655	48.420107429458966	2.2488998187936886	42	44	-2	4.248899818793689
2024-04-02	서울 동작갑	메타보이스	무선 전화면접 가상번호	50.4972270032511	45.01976158602665	5.477465417224451	44	34	10	-4.522534582775549
2024-04-02	서울 강남을	메타보이스	무선 전화면접 가상번호	41.426538889252306	58.573461110747694	-17.146922221495387	41	43	-2	-15.146922221495387
2024-04-02	서울 도봉갑	메타보이스	무선 전화면접 가상번호	47.89489273473533	49.05640418059493	-1.1615114458596025	50	36	14	-15.161511445859603
2024-04-02	서울 도봉갑	여론조사공정	유무선 혼합 ARS 가상번호/RDD 혼합	47.89489273473533	49.05640418059493	-1.1615114458596025	49	40.3	8.700000000000003	-9.861511445859605
2024-04-02	경기 수원정	여론조사공정	유무선 혼합 ARS 가상번호/RDD 혼합	50.86508716380973	49.13491283619027	1.7301743276194657	49.5	42.5	7	-5.269825672380534
