district	nesdcLabel	name	party	percent	info	조사시작일	조사기관.여론M	조사기관2	의뢰기관	총협조율	후보수	권역	선거구명	RegNumber	SurveyAgency	여론조사명칭	등록일	지역_시도	link	조사기관.여심위	공동조사기관	조사시간	조사완료사례수	총사용규모	총거절이탈규모	총접촉률	가중법	조사방법.요약	표본구성.요약	조사일수	휴일조사일수	조사종료일	지역
경기 평택을	(주)리서치뷰 -  평택시민신문/평택자치신문/평택시사신문	이병진	더불어민주당	54.8	2023-03-30 ~ 2024-03-31 / 무선 ARS / 무선전화번호가상번호 / 700명 / 8% / 95% 신뢰수준에 ±3.7%P	2023-03-30	(주)리서치뷰	리서치뷰	평택시민신문/평택자치신문/평택시사신문	8	2	경기	평택을	13230	(주)리서치뷰	경기도 평택시  (을)  국회의원선거 비례대표국회의원선거 정당지지도 	2024-04-01	경기도	/portal/bbs/B0000005/view.do?nttId=14907&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=18	(주)리서치뷰		22시간0분	700	18935	8070	48.9	셀가중	무선ARS(100%) 무선전화번호가상번호	무선ARS(100%) SKT(9,240개),KT(5,632개),LGU(4,063개)가입자리스트로부터무작위추출	2	1	2024-03-31	지역
경기 평택을	(주)리서치뷰 -  평택시민신문/평택자치신문/평택시사신문	정우성	국민의힘	37.5	2023-03-30 ~ 2024-03-31 / 무선 ARS / 무선전화번호가상번호 / 700명 / 8% / 95% 신뢰수준에 ±3.7%P	2023-03-30	(주)리서치뷰	리서치뷰	평택시민신문/평택자치신문/평택시사신문	8	2	경기	평택을	13230	(주)리서치뷰	경기도 평택시  (을)  국회의원선거 비례대표국회의원선거 정당지지도 	2024-04-01	경기도	/portal/bbs/B0000005/view.do?nttId=14907&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=18	(주)리서치뷰		22시간0분	700	18935	8070	48.9	셀가중	무선ARS(100%) 무선전화번호가상번호	무선ARS(100%) SKT(9,240개),KT(5,632개),LGU(4,063개)가입자리스트로부터무작위추출	2	1	2024-03-31	지역
인천 동미추홀을	(주)여론조사꽃 -  (주)여론조사꽃 자체조사	남영희	더불어민주당	33.2	2023-09-06 ~ 2023-09-07 / 무선전화면접 / 무선전화번호휴대전화 가상번호 / 506명 / 15.5% / 95% 신뢰수준에 ±4.4%P	2023-09-06	(주)여론조사꽃	여론조사꽃	(주)여론조사꽃 자체조사	15.5	2	인천	동미추홀을	11560	(주)여론조사꽃	인천광역시 동구 미추홀구  (을) 선거구  정당지지도 국회의원선거 	2023-09-08	인천광역시	/portal/bbs/B0000005/view.do?nttId=12977&menuNo=200467&searchTime=:: 날짜구분 ::&sdate=&edate=&pdate=&pollGubuncd=VT025&searchCnd=:: 검색어구분 ::&searchWrd=&pageIndex=176	(주)여론조사꽃		17시간30분	506	14498	2767	24.4	셀가중	무선전화면접(100%) 무선전화번호휴대전화가상번호	무선전화면접(100%) 가상번호구축방법:SKT(7500),KT(4023),LGU+(3000)가입자리스트로부터무작위추출	2	0	2023-09-07	지역
인천 동미추홀을	(주)여론조사꽃 -  (주)여론조사꽃 자체조사	윤상현	국민의힘	38.4	2023-09-06 ~ 2023-09-07 / 무선전화면접 / 무선전화번호휴대전화 가상번호 / 506명 / 15.5% / 95% 신뢰수준에 ±4.4%P	2023-09-06	(주)여론조사꽃	여론조사꽃	(주)여론조사꽃 자체조사	15.5	2	인천	동미추홀을	11560	(주)여론조사꽃	인천광역시 동구 미추홀구  (을) 선거구  정당지지도 국회의원선거 	2023-09-08	인천광역시	/portal/bbs/B0000005/view.do?nttId=12977&menuNo=200467&searchTime=:: 날짜구분 ::&sdate=&edate=&pdate=&pollGubuncd=VT025&searchCnd=:: 검색어구분 ::&searchWrd=&pageIndex=176	(주)여론조사꽃		17시간30분	506	14498	2767	24.4	셀가중	무선전화면접(100%) 무선전화번호휴대전화가상번호	무선전화면접(100%) 가상번호구축방법:SKT(7500),KT(4023),LGU+(3000)가입자리스트로부터무작위추출	2	0	2023-09-07	지역
서울 광진을	(주)여론조사꽃 -  (주)여론조사꽃 자체조사	고민정	더불어민주당	38.1	2023-10-25 ~ 2023-10-26 / 무선전화면접 / 무선전화번호휴대전화 가상번호 / 505명 / 9.8% / 95% 신뢰수준에 ±4.4%P	2023-10-25	(주)여론조사꽃	여론조사꽃	(주)여론조사꽃 자체조사	9.8	2	서울	광진을	11695	(주)여론조사꽃	서울특별시 광진구  을 선거구  정당지지도 국회의원선거 	2023-10-27	서울특별시	/portal/bbs/B0000005/view.do?nttId=13155&menuNo=200467&searchTime=:: 날짜구분 ::&sdate=&edate=&pdate=&pollGubuncd=VT025&searchCnd=:: 검색어구분 ::&searchWrd=&pageIndex=167	(주)여론조사꽃		15시간40분	505	14356	4671	40.6	셀가중	무선전화면접(100%) 무선전화번호휴대전화가상번호	무선전화면접(100%) 가상번호구축방법:SKT(7500),KT(4500),LGU+(3000)가입자리스트로부터무작위추출	2	0	2023-10-26	지역
서울 광진을	(주)여론조사꽃 -  (주)여론조사꽃 자체조사	오신환	국민의힘	29	2023-10-25 ~ 2023-10-26 / 무선전화면접 / 무선전화번호휴대전화 가상번호 / 505명 / 9.8% / 95% 신뢰수준에 ±4.4%P	2023-10-25	(주)여론조사꽃	여론조사꽃	(주)여론조사꽃 자체조사	9.8	2	서울	광진을	11695	(주)여론조사꽃	서울특별시 광진구  을 선거구  정당지지도 국회의원선거 	2023-10-27	서울특별시	/portal/bbs/B0000005/view.do?nttId=13155&menuNo=200467&searchTime=:: 날짜구분 ::&sdate=&edate=&pdate=&pollGubuncd=VT025&searchCnd=:: 검색어구분 ::&searchWrd=&pageIndex=167	(주)여론조사꽃		15시간40분	505	14356	4671	40.6	셀가중	무선전화면접(100%) 무선전화번호휴대전화가상번호	무선전화면접(100%) 가상번호구축방법:SKT(7500),KT(4500),LGU+(3000)가입자리스트로부터무작위추출	2	0	2023-10-26	지역
서울 종로	(주)여론조사꽃 -  (주)여론조사꽃 자체조사	곽상언	더불어민주당	34.8	2023-11-08 ~ 2023-11-09 / 무선전화면접 / 무선전화번호휴대전화 가상번호 / 510명 / 9.5% / 95% 신뢰수준에 ±4.3%P	2023-11-08	(주)여론조사꽃	여론조사꽃	(주)여론조사꽃 자체조사	9.5	2	서울	종로	11728	(주)여론조사꽃	서울특별시 종로구    정당지지도 국회의원선거 	2023-11-10	서울특별시	/portal/bbs/B0000005/view.do?nttId=13195&menuNo=200467&searchTime=:: 날짜구분 ::&sdate=&edate=&pdate=&pollGubuncd=VT025&searchCnd=:: 검색어구분 ::&searchWrd=&pageIndex=164	(주)여론조사꽃		15시간40분	510	14829	4851	40.9	셀가중	무선전화면접(100%) 무선전화번호휴대전화가상번호	무선전화면접(100%) 가상번호구축방법:SKT(7500),KT(4500),LGU+(2922)가입자리스트로부터무작위추출	2	0	2023-11-09	지역
서울 종로	(주)여론조사꽃 -  (주)여론조사꽃 자체조사	최재형	국민의힘	29.5	2023-11-08 ~ 2023-11-09 / 무선전화면접 / 무선전화번호휴대전화 가상번호 / 510명 / 9.5% / 95% 신뢰수준에 ±4.3%P	2023-11-08	(주)여론조사꽃	여론조사꽃	(주)여론조사꽃 자체조사	9.5	2	서울	종로	11728	(주)여론조사꽃	서울특별시 종로구    정당지지도 국회의원선거 	2023-11-10	서울특별시	/portal/bbs/B0000005/view.do?nttId=13195&menuNo=200467&searchTime=:: 날짜구분 ::&sdate=&edate=&pdate=&pollGubuncd=VT025&searchCnd=:: 검색어구분 ::&searchWrd=&pageIndex=164	(주)여론조사꽃		15시간40분	510	14829	4851	40.9	셀가중	무선전화면접(100%) 무선전화번호휴대전화가상번호	무선전화면접(100%) 가상번호구축방법:SKT(7500),KT(4500),LGU+(2922)가입자리스트로부터무작위추출	2	0	2023-11-09	지역
경기 남양주을	(주)여론조사꽃 -  (주)여론조사꽃 자체조사	김병주	더불어민주당	37.7	2023-11-15 ~ 2023-11-16 / 무선전화면접 / 무선전화번호휴대전화 가상번호 / 510명 / 13% / 95% 신뢰수준에 ±4.3%P	2023-11-15	(주)여론조사꽃	여론조사꽃	(주)여론조사꽃 자체조사	13	2	경기	남양주을	11750	(주)여론조사꽃	경기도 남양주시  을 선거구  정당지지도 국회의원선거 	2023-11-17	경기도	/portal/bbs/B0000005/view.do?nttId=13219&menuNo=200467&searchTime=:: 날짜구분 ::&sdate=&edate=&pdate=&pollGubuncd=VT025&searchCnd=:: 검색어구분 ::&searchWrd=&pageIndex=162	(주)여론조사꽃		11시간30분	510	13939	3404	30.3	셀가중	무선전화면접(100%) 무선전화번호휴대전화가상번호	무선전화면접(100%) 가상번호구축방법:SKT(7500),KT(4500),LGU+(3000)가입자리스트로부터무작위추출	2	0	2023-11-16	지역
경기 남양주을	(주)여론조사꽃 -  (주)여론조사꽃 자체조사	곽관용	국민의힘	23.7	2023-11-15 ~ 2023-11-16 / 무선전화면접 / 무선전화번호휴대전화 가상번호 / 510명 / 13% / 95% 신뢰수준에 ±4.3%P	2023-11-15	(주)여론조사꽃	여론조사꽃	(주)여론조사꽃 자체조사	13	2	경기	남양주을	11750	(주)여론조사꽃	경기도 남양주시  을 선거구  정당지지도 국회의원선거 	2023-11-17	경기도	/portal/bbs/B0000005/view.do?nttId=13219&menuNo=200467&searchTime=:: 날짜구분 ::&sdate=&edate=&pdate=&pollGubuncd=VT025&searchCnd=:: 검색어구분 ::&searchWrd=&pageIndex=162	(주)여론조사꽃		11시간30분	510	13939	3404	30.3	셀가중	무선전화면접(100%) 무선전화번호휴대전화가상번호	무선전화면접(100%) 가상번호구축방법:SKT(7500),KT(4500),LGU+(3000)가입자리스트로부터무작위추출	2	0	2023-11-16	지역
